,RMSE,MAE,R2
Linear Regression,5209497647988.045,70032892909.65675,-3.112694581419717e-05
Random Forest,5224176686982.483,60619284043.00343,-0.0056747334675120165
XGBoost,5209721995442.753,56415462010.35044,-0.00011726164978775877
